Date,Open,High,Low,Close
1-January-2018,34059.99,34101.13,33766.15,33812.75
2-January-2018,33913.55,33964.14,33703.37,33812.26
3-January-2018,33929.61,33998.37,33765.43,33793.38
4-January-2018,33912.49,33995.4,33802.13,33969.64
5-January-2018,34021.27,34188.85,34020.84,34153.85
8-January-2018,34216.33,34385.67,34216.33,34352.79
9-January-2018,34431.61,34488.03,34343.41,34443.19
10-January-2018,34538.78,34565.63,34311.63,34433.07
11-January-2018,34471.48,34558.88,34400.61,34503.49
12-January-2018,34578.99,34638.42,34342.16,34592.39
15-January-2018,34687.21,34963.69,34687.21,34843.51
16-January-2018,34877.71,34936.03,34735.55,34771.05
17-January-2018,34753.8,35118.61,34700.82,35081.82
18-January-2018,35366.45,35507.36,35166.44,35260.29
19-January-2018,35339.11,35542.17,35221.16,35511.58
22-January-2018,35613.97,35827.7,35544.68,35798.01
23-January-2018,35868.19,36170.83,35863.98,36139.98
24-January-2018,36161.62,36268.19,36036.51,36161.64
25-January-2018,36208.39,36247.02,35823.35,36050.44
29-January-2018,36106.36,36443.98,36093.36,36283.25
30-January-2018,36277.12,36291.82,35993.41,36033.73
31-January-2018,35951.64,36050.69,35818.41,35965.02
1-February-2018,36048.99,36256.83,35501.74,35906.66
2-February-2018,35707.6,35738.13,35006.41,35066.75
5-February-2018,34718.85,34874.17,34520.8,34757.16
6-February-2018,33753.78,34521.01,33482.81,34195.94
7-February-2018,34563.3,34666.33,34008.42,34082.71
8-February-2018,34208.11,34634.35,34108.76,34413.16
9-February-2018,34002.45,34070.73,33849.65,34005.76
12-February-2018,34203.34,34351.34,34115.12,34300.47
14-February-2018,34436.98,34473.43,34028.68,34155.95
15-February-2018,34207.57,34535.08,34186.01,34297.47
16-February-2018,34411.24,34508.24,33957.33,34010.76
19-February-2018,34053.95,34122.96,33554.37,33774.66
20-February-2018,33913.94,33960.95,33657.89,33703.59
21-February-2018,33813.83,33911.36,33702.5,33844.86
22-February-2018,33817.09,33868.74,33691.42,33819.5
23-February-2018,33832,34167.6,33832,34142.15
26-February-2018,34225.72,34483.39,34225.72,34445.75
27-February-2018,34558.56,34610.79,34314.87,34346.39
28-February-2018,34155.63,34302.74,34076.45,34184.04
1-March-2018,34141.22,34278.63,34015.79,34046.94
5-March-2018,34034.28,34034.28,33653.41,33746.78
6-March-2018,34047.43,34060.13,33209.76,33317.2
7-March-2018,33279.39,33331.21,32991.14,33033.09
